order-id,purchase-date,sku,quantity-purchased
114-0343058-1595471,2022-07-20T12:23:38-07:00,730300,2.0
112-4865173-0925020,2022-07-20T12:35:42-07:00,730300,1.0
113-2056391-8073814,2022-07-18T14:54:00-07:00,791192,1.0
112-4037348-4713010,2022-07-20T12:52:49-07:00,36500,1.0
114-6865133-7489815,2022-07-20T13:02:21-07:00,724300,1.0
112-9999797-7953024,2022-07-20T13:09:03-07:00,936300,1.0
112-0710743-8097848,2022-07-20T13:07:30-07:00,724304,4.0
113-3890100-4464243,2022-07-20T13:27:51-07:00,724300,1.0
113-0442351-3641010,2022-07-20T13:32:29-07:00,10316,1.0
111-7714811-1888237,2022-07-20T13:34:46-07:00,36153,1.0
112-6358951-2959460,2022-07-20T13:41:07-07:00,3614,4.0
112-9831205-9515451,2022-07-20T14:06:02-07:00,36150,2.0
113-0145383-2971450,2022-07-20T13:54:47-07:00,724300,1.0
112-0600127-4357063,2022-07-20T13:55:24-07:00,724500,1.0
111-3363645-8265814,2022-07-20T13:50:32-07:00,724300,1.0
112-4884111-6757819,2022-07-20T14:32:00-07:00,10311C,1.0
112-4884111-6757819,2022-07-20T14:32:00-07:00,10316,1.0
114-9075428-5125835,2022-07-20T14:59:57-07:00,36500,1.0
112-8192140-9353044,2022-07-20T15:14:26-07:00,30150,1.0
111-0302175-2035441,2022-07-20T15:28:38-07:00,10336C,1.0
111-9069994-5111407,2022-07-20T15:39:44-07:00,10316,1.0
111-7377324-3598608,2022-07-20T16:02:58-07:00,88369,1.0
113-4607448-2619421,2022-07-20T16:19:50-07:00,36500,1.0
112-1589609-4096253,2022-07-20T20:38:43-07:00,724300,1.0
111-3894405-4981818,2022-07-21T03:37:37-07:00,777802,1.0
113-9459164-4459451,2022-07-21T04:31:28-07:00,36500,1.0
113-7184680-8117022,2022-07-21T04:40:16-07:00,724500,1.0
114-4092849-5306666,2022-07-21T04:48:06-07:00,36150,1.0
111-6480705-4574634,2022-07-21T04:51:04-07:00,724500,2.0
111-7526869-9709062,2022-07-21T05:15:40-07:00,16200,2.0
111-8453288-7572227,2022-07-21T06:40:18-07:00,42154,2.0
112-7504839-0677822,2022-07-21T07:13:47-07:00,104604PLT,1.0
111-8596028-7165050,2022-07-21T07:11:16-07:00,791193,1.0
111-4525297-7064222,2022-07-21T07:21:00-07:00,36500,1.0
113-4486600-1661022,2022-07-21T07:26:50-07:00,30150,2.0
114-6482175-0021869,2022-07-21T07:51:02-07:00,791193,1.0
111-2266239-9461010,2022-07-21T07:50:14-07:00,724500,1.0
113-7319990-2480228,2022-07-21T07:56:45-07:00,10316,1.0
112-3542716-4985822,2022-07-21T07:52:41-07:00,36150,1.0
114-9928203-4025068,2022-07-21T07:55:05-07:00,724500,2.0
111-6073699-3566668,2022-07-21T07:57:36-07:00,24154,2.0
111-1926013-6589841,2022-07-21T07:59:34-07:00,36500,2.0
114-1615179-7560252,2022-07-21T07:59:04-07:00,24124,2.0
112-1590333-8750630,2022-07-21T08:29:29-07:00,36500,3.0
113-2404610-8791447,2022-07-21T08:09:07-07:00,791193,10.0
112-9300730-4042665,2022-07-21T08:15:47-07:00,724500,3.0
113-9045759-4206613,2022-07-21T08:16:41-07:00,88369,1.0
111-7540239-4890638,2022-07-21T08:40:47-07:00,730300,2.0
111-7271413-6176205,2022-07-21T08:44:55-07:00,24304,1.0
113-3810964-3841047,2022-07-21T08:53:04-07:00,724150,4.0
113-7009501-3125049,2022-07-21T09:02:37-07:00,791193,5.0
114-6190232-9014649,2022-07-21T09:04:55-07:00,724500,1.0
113-9335265-1040247,2022-07-20T07:52:59-07:00,10336C,2.0
111-4495961-3185041,2022-07-21T09:12:44-07:00,24124,2.0
113-4797969-4341826,2022-07-21T09:11:37-07:00,791193,4.0
113-8406447-7165815,2022-07-21T09:13:35-07:00,27-1TVA-IET3,1.0
113-9411029-2725060,2022-07-21T09:22:03-07:00,30150,1.0
111-7897066-9647442,2022-07-21T09:36:23-07:00,724500,1.0
113-3674178-3249851,2022-07-21T09:48:33-07:00,771851,2.0
113-4106502-4970609,2022-07-21T09:55:48-07:00,2262,1.0
114-8600553-6272207,2022-07-21T10:46:35-07:00,791192,1.0
